Position,Country,IDH,Language,Code,Long,Lat
1,Norway,0.953,Norwegian,no,8.468946,60.472024
2,Switzerland,0.9440000000000001,German,de,8.227511999999999,46.818188
3,Australia,0.9390000000000001,English,en,133.775136,-25.274398
4,Ireland,0.938,Irish,ga,-8.243889999999999,53.41291
5,Germany,0.9359999999999999,German,de,10.451526,51.165691
6,Iceland,0.935,Icelandic,is,-19.020835,64.963051
7,Hong Kong,0.9329999999999999,Chinese (Traditional),zh-TW,114.10949699999999,22.396428
8,Sweden,0.9329999999999999,Swedish,sv,18.643501,60.128161
9,Singapore,0.932,Chinese (Traditional),zh-TW,103.819836,1.352083
10,Netherlands,0.9309999999999999,Dutch,nl,5.291266,52.132633
11,Denmark,0.929,Danish,da,9.501785,56.26392
12,Canada,0.9259999999999999,English,en,-106.34677099999999,56.130366
13,United States,0.924,English,en,-95.712891,37.09024
14,United Kingdom,0.922,English,en,-3.435973,55.378051
15,Finland,0.92,Finnish,fi,25.748151,61.92411
16,New Zealand,0.917,Maori,mi,174.88597099999998,-40.900557
17,Belgium,0.9159999999999999,Dutch,nl,4.469936,50.503887
18,Liechtenstein,0.9159999999999999,German,de,9.555373,47.166
19,Japan,0.909,Japanese,ja,138.252924,36.204824
20,Austria,0.9079999999999999,German,de,14.550072,47.516231
21,Luxembourg,0.904,Luxembourgish,lb,6.129583,49.815273
22,Israel,0.903,Hebrew,he,34.851612,31.046051
23,South Korea,0.903,Korean,ko,127.766922,35.907757
24,France,0.9009999999999999,French,fr,2.213749,46.227638
25,Slovenia,0.8959999999999999,Slovenian,sl,14.995463,46.151241
26,Spain,0.8909999999999999,Spanish,es,-3.7492199999999998,40.463667
27,Czech Republic,0.888,Czech,cs,15.472961999999999,49.817492
28,Italy,0.88,Italian,it,12.56738,41.87194
29,Malta,0.878,Maltese,mt,14.375416,35.937496
30,Estonia,0.871,Estonian,et,25.013607,58.595272
31,Greece,0.87,Greek,el,21.824312,39.074208
32,Cyprus,0.8690000000000001,Turkish,tr,33.429859,35.126413
33,Poland,0.865,Polish,pl,19.145135999999997,51.919438
34,United Arab Emirates,0.863,Arabic,ar,53.847818000000004,23.424076
35,Andorra,0.858,Catalan,ca,1.6015540000000001,42.546245
36,Lithuania,0.858,Lithuanian,lt,23.881275,55.169438
37,Qatar,0.856,Arabic,ar,51.183884,25.354826
38,Slovakia,0.855,Slovak,sk,19.699023999999998,48.669026
39,Brunei,0.853,Malay,ms,114.72766899999999,4.535277
40,Saudi Arabia,0.853,Arabic,ar,45.079162,23.885942
41,Latvia,0.847,Latvian,lv,24.603189,56.879635
42,Portugal,0.847,Portuguese,pt,-8.224454,39.399872
43,Bahrain,0.846,Arabic,ar,50.637772,25.930414
44,Chile,0.843,Spanish,es,-71.542969,-35.675147
45,Hungary,0.838,Hungarian,hu,19.503304,47.162494
46,Croatia,0.831,Croatian,hr,15.2,45.1
47,Argentina,0.825,Spanish,es,-63.616671999999994,-38.416097
48,Oman,0.821,Arabic,ar,55.923255000000005,21.512583
49,Russia,0.816,Russian,ru,105.31875600000001,61.52401
50,Montenegro,0.8140000000000001,Albanian,sq,19.37439,42.708678
51,Bulgaria,0.813,Bulgarian,bg,25.48583,42.733883
52,Romania,0.8109999999999999,Romanian,ro,24.96676,45.943161
53,Belarus,0.8079999999999999,Russian,ru,27.953389,53.709807
54,Bahamas,0.807,English,en,-77.39628,25.03428
55,Uruguay,0.804,Spanish,es,-55.765834999999996,-32.522779
