Positon,Country,IDH,Language,Code
0,60,Iran,0.798,Persian,fa
1,60,Palau,0.798,English,en
2,62,Seychelles,0.797,French,fr
3,63,Costa Rica,0.794,Spanish,es
4,64,Turkey,0.791,Turkish,tr
5,65,Mauritius,0.79,English,en
6,66,Panama,0.789,Spanish,es
7,67,Serbia,0.787,Serbian,sr
8,68,Albania,0.785,Albanian,sq
9,69,Trinidad and Tobago,0.784,English,en
10,70,Antigua and Barbuda,0.78,English,en
11,70,Georgia,0.78,Georgian,ka
12,72,Saint Kitts and Nevis,0.778,English,en
13,73,Cuba,0.777,Spanish,es
14,74,Mexico,0.774,Spanish,es
15,75,Grenada,0.772,English,en
16,76,Sri Lanka,0.77,Sinhala,si
17,77,Bosnia and Herzegovina,0.768,Bosnian,bs
18,78,Venezuela,0.761,Spanish,es
19,79,Brazil,0.759,Portuguese,pt
20,80,Lebanon,0.757,Arabic,ar
21,80,North Macedonia,0.757,Macedonian,mk
22,83,Armenia,0.755,Armenian,hy
23,83,Thailand,0.755,Thai,th
24,85,Algeria,0.754,Arabic,ar
25,86,China,0.752,Chinese (Simplified),zh
26,86,Ecuador,0.752,Spanish,es
27,88,Ukraine,0.751,Ukrainian,uk
28,89,Peru,0.75,Spanish,es
29,90,Colombia,0.747,Spanish,es
30,90,Saint Lucia,0.747,English,en
31,92,Fiji,0.741,English,en
32,92,Mongolia,0.741,Mongolian,mn
33,94,Dominican Republic,0.736,Spanish,es
34,95,Jordan,0.735,Arabic,ar
35,95,Tunisia,0.735,Kurdish,ku
36,97,Jamaica,0.732,English,en
37,98,Tonga,0.726,English,en
38,99,Saint Vincent and the Grenadines,0.723,English,en
39,100,Suriname,0.72,Dutch,nl
40,101,Botswana,0.717,English,en
41,103,Dominica,0.715,English,en
42,104,Samoa,0.713,Samoan,sm
43,105,Uzbekistan,0.71,Uzbek,uz
44,106,Belize,0.708,English,en
45,106,Marshall Islands,0.708,English,en
46,108,Libya,0.706,Arabic,ar
47,110,Gabon,0.702,French,fr
48,110,Paraguay,0.702,Spanish,es
49,112,Moldova,0.7,Romanian,ro
