Positon,Country,IDH,Language,Code
113,Philippines,0.6990000000000001,Filipino,tl
113,South Africa,0.6990000000000001,Zulu,zu
115,Egypt,0.696,Arabic,ar
116,Indonesia,0.6940000000000001,Indonesian,id
116,Vietnam,0.6940000000000001,Vietnamese,vi
118,Bolivia,0.693,Spanish,es
119,Palestine,0.6859999999999999,Arabic,ar
120,Iraq,0.685,Arabic,ar
121,El Salvador,0.674,Spanish,es
122,Kyrgyzstan,0.672,Russian,ru
123,Morocco,0.667,Arabic,ar
124,Nicaragua,0.6579999999999999,Spanish,es
125,Cape Verde,0.654,Portuguese,pt
125,Guyana,0.654,English,en
127,Guatemala,0.65,Spanish,es
129,Namibia,0.647,English,en
130,India,0.64,Hindi,hi
132,East Timor,0.625,Portuguese,pt
133,Honduras,0.617,Spanish,es
134,Kiribati,0.612,English,en
136,Bangladesh,0.608,Bengali,bn
137,Republic of the Congo,0.606,French,fr
138,Vanuatu,0.603,French,fr
139,Laos,0.601,Lao,lo
140,Ghana,0.5920000000000001,English,en
141,Equatorial Guinea,0.591,Portuguese,pt
142,Kenya,0.59,English,en
143,São Tomé and Príncipe,0.589,Portuguese,pt
144,Zambia,0.588,English,en
147,Angola,0.581,Portuguese,pt
148,Myanmar,0.578,Burmese,my
149,Nepal,0.574,Nepali,ne
150,Pakistan,0.562,Urdu,ur
151,Cameroon,0.556,French,fr
