Language,Code
Chinese (Traditional),zh-TW
Russian,ru
Portuguese,pt
Hindi,hi
Russian,ru
Hindi,hi
Kurdish,ku
English,en
Russian,ru
Chinese (Traditional),zh-TW
Portuguese,pt
Finnish,fi
Chinese (Traditional),zh-TW
Russian,ru
Hindi,hi
Russian,ru
Kurdish,ku
Finnish,fi
Kurdish,ku
Chinese (Traditional),zh-TW
English,en
Kurdish,ku
Russian,ru
English,en
Hindi,hi
Finnish,fi
English,en
Russian,ru
Hindi,hi
Finnish,fi
Hindi,hi
Kurdish,ku
English,en
Portuguese,pt
Chinese (Traditional),zh-TW
Russian,ru
Portuguese,pt
Hindi,hi
English,en
Russian,ru
Kurdish,ku
Portuguese,pt
Chinese (Traditional),zh-TW
Finnish,fi
Hindi,hi
Russian,ru
Finnish,fi
Hindi,hi
Chinese (Traditional),zh-TW
English,en
Portuguese,pt
Chinese (Traditional),zh-TW
English,en
Russian,ru
Kurdish,ku
Russian,ru
Portuguese,pt
Finnish,fi
English,en
Chinese (Traditional),zh-TW
Russian,ru
Kurdish,ku
Chinese (Traditional),zh-TW
English,en
Portuguese,pt
Kurdish,ku
English,en
Kurdish,ku
Portuguese,pt
Finnish,fi
Chinese (Traditional),zh-TW
Kurdish,ku
Finnish,fi
Kurdish,ku
Russian,ru
Portuguese,pt
Russian,ru
Hindi,hi
Portuguese,pt
Russian,ru
Portuguese,pt
English,en
Hindi,hi
Kurdish,ku
Hindi,hi
Kurdish,ku
Finnish,fi
Hindi,hi
English,en
Russian,ru
Hindi,hi
Finnish,fi
Hindi,hi
Chinese (Traditional),zh-TW
Finnish,fi
Hindi,hi
Russian,ru
Chinese (Traditional),zh-TW
English,en
Hindi,hi
Finnish,fi
Russian,ru
Chinese (Traditional),zh-TW
English,en
Finnish,fi
Portuguese,pt
Finnish,fi
Hindi,hi
Kurdish,ku
Russian,ru
Kurdish,ku
English,en
Finnish,fi
Kurdish,ku
English,en
Russian,ru
Portuguese,pt
Hindi,hi
Portuguese,pt
Chinese (Traditional),zh-TW
Kurdish,ku
English,en
Portuguese,pt
English,en
Portuguese,pt
Chinese (Traditional),zh-TW
Finnish,fi
Kurdish,ku
Finnish,fi
Russian,ru
Finnish,fi
English,en
Kurdish,ku
Hindi,hi
Portuguese,pt
Hindi,hi
English,en
Hindi,hi
Kurdish,ku
Chinese (Traditional),zh-TW
English,en
Portuguese,pt
